title,text,summary,url,published_at,category,source
"""Никто не остановит"". Слова Трампа о Кубе вызвали переполох в США","""Никто не остановит"". Слова Трампа о Кубе вызвали переполох в США","""Никто не остановит"". Слова Трампа о Кубе вызвали переполох в США",https://ria.ru/20260317/kuba-2081287705.html,2026-03-17 16:10:32,Лента новостей,parsed_rss:ria
"США скоро ""что-то"" сделают с Кубой, заявил Трамп","США скоро ""что-то"" сделают с Кубой, заявил Трамп","США скоро ""что-то"" сделают с Кубой, заявил Трамп",https://ria.ru/20260317/tramp-2081287615.html,2026-03-17 16:10:13,Лента новостей,parsed_rss:ria
Трамп разочаровался в НАТО,Трамп разочаровался в НАТО,Трамп разочаровался в НАТО,https://ria.ru/20260317/tramp-2081287522.html,2026-03-17 16:08:52,Лента новостей,parsed_rss:ria
"Гренландия является ключевым регионом для обороны США, заявили в Пентагоне","Гренландия является ключевым регионом для обороны США, заявили в Пентагоне","Гренландия является ключевым регионом для обороны США, заявили в Пентагоне",https://ria.ru/20260317/grenlandiya-2081287290.html,2026-03-17 16:08:33,Лента новостей,parsed_rss:ria
"Глава ЕК не справляется с энергетической безопасностью ЕС, считает Дмитриев","Глава ЕК не справляется с энергетической безопасностью ЕС, считает Дмитриев","Глава ЕК не справляется с энергетической безопасностью ЕС, считает Дмитриев",https://ria.ru/20260317/ljajeny-2081287059.html,2026-03-17 16:07:31,Лента новостей,parsed_rss:ria
"Трамп заявил о ""глупой ошибке"" НАТО и пообещал скорую отставку Макрона","Трамп заявил о ""глупой ошибке"" НАТО и пообещал скорую отставку Макрона","Трамп заявил о ""глупой ошибке"" НАТО и пообещал скорую отставку Макрона",https://ria.ru/20260317/tramp-2081286729.html,2026-03-17 16:05:34,Лента новостей,parsed_rss:ria
Взрыв от метеорита напугал жителей трех американских штатов,Взрыв от метеорита напугал жителей трех американских штатов,Взрыв от метеорита напугал жителей трех американских штатов,https://ria.ru/20260317/meteorit-2081286553.html,2026-03-17 16:03:29,Лента новостей,parsed_rss:ria
В Тель-Авиве сработала воздушная тревога,В Тель-Авиве сработала воздушная тревога,В Тель-Авиве сработала воздушная тревога,https://ria.ru/20260317/trevoga-2081284706.html,2026-03-17 15:56:38,Лента новостей,parsed_rss:ria
В Ливане два военнослужащих погибли при ударе израильских ВВС,В Ливане два военнослужащих погибли при ударе израильских ВВС,В Ливане два военнослужащих погибли при ударе израильских ВВС,https://ria.ru/20260317/livan-2081284451.html,2026-03-17 15:55:01,Лента новостей,parsed_rss:ria
"США не нуждаются в помощи НАТО в операции против Ирана, заявил Трамп","США не нуждаются в помощи НАТО в операции против Ирана, заявил Трамп","США не нуждаются в помощи НАТО в операции против Ирана, заявил Трамп",https://ria.ru/20260317/tramp-2081284227.html,2026-03-17 15:52:20,Лента новостей,parsed_rss:ria
