title,text,summary,url,published_at,category,source
"«Не наша война». Европейцы категорично отвергли требование Трампа отправить флот для снятия блокады Ормузского пролива16:25, 16 марта 2026","«Не наша война». Европейцы категорично отвергли требование Трампа отправить флот для снятия блокады Ормузского пролива16:25, 16 марта 2026","«Не наша война». Европейцы категорично отвергли требование Трампа отправить флот для снятия блокады Ормузского пролива16:25, 16 марта 2026",https://lenta.ru/news/2026/03/16/ne-nasha-voyna-evropeytsy-kategorichno-otvergli-trebovanie-trampa-otpravit-flot-dlya-snyatiya-blokady-ormuzskogo-proliva/,,,parsed_html:lenta
"Долина будет судиться с мошенниками, которые обманули ее. Певица требует 176 миллионов рублей15:19, 16 марта 2026","Долина будет судиться с мошенниками, которые обманули ее. Певица требует 176 миллионов рублей15:19, 16 марта 2026","Долина будет судиться с мошенниками, которые обманули ее. Певица требует 176 миллионов рублей15:19, 16 марта 2026",https://lenta.ru/news/2026/03/16/dolina-budet-suditsya-s-moshennikami-kotorye-obmanuli-ee-pevitsa-trebuet-176-millionov-rubley/,,,parsed_html:lenta
"Российская армия с утра бьет по Киеву. Есть удары по центру города. Что известно к этому часу?13:19, 16 марта 2026","Российская армия с утра бьет по Киеву. Есть удары по центру города. Что известно к этому часу?13:19, 16 марта 2026","Российская армия с утра бьет по Киеву. Есть удары по центру города. Что известно к этому часу?13:19, 16 марта 2026",https://lenta.ru/news/2026/03/16/rossiyskaya-armiya-s-utra-biet-po-kievu-est-udary-po-tsentru-goroda-chto-izvestno-k-etomu-chasu/,,,parsed_html:lenta
"Израиль объявил об уничтожении самолета верховного лидера Ирана. Борт разбомбили прямо в аэропорту12:37, 16 марта 2026","Израиль объявил об уничтожении самолета верховного лидера Ирана. Борт разбомбили прямо в аэропорту12:37, 16 марта 2026","Израиль объявил об уничтожении самолета верховного лидера Ирана. Борт разбомбили прямо в аэропорту12:37, 16 марта 2026",https://lenta.ru/news/2026/03/16/izrail-ob-yavil-ob-unichtozhenii-samoleta-verhovnogo-lidera-irana-bort-razbombili-pryamo-v-aeroportu/,,,parsed_html:lenta
"Украинские беспилотники третий день сбивают на подлете к Москве. Что известно о продолжающейся атаке?09:25, 16 марта 2026","Украинские беспилотники третий день сбивают на подлете к Москве. Что известно о продолжающейся атаке?09:25, 16 марта 2026","Украинские беспилотники третий день сбивают на подлете к Москве. Что известно о продолжающейся атаке?09:25, 16 марта 2026",https://lenta.ru/news/2026/03/16/ukrainskie-bespilotniki-tretiy-den-sbivayut-na-podlete-k-moskve-chto-izvestno-o-prodolzhayuscheysya-atake/,,,parsed_html:lenta
"На Украине заявили, что Трамп разбил две главные надежды Зеленского. О чем идет речь?05:25, 16 марта 2026","На Украине заявили, что Трамп разбил две главные надежды Зеленского. О чем идет речь?05:25, 16 марта 2026","На Украине заявили, что Трамп разбил две главные надежды Зеленского. О чем идет речь?05:25, 16 марта 2026",https://lenta.ru/news/2026/03/16/na-ukraine-zayavili-chto-tramp-razbil-dve-glavnye-nadezhdy-zelenskogo-o-chem-idet-rech/,,,parsed_html:lenta
"Расход ракет, прибыль России от нефти и пауза в переговорах. Украина оказалась главным проигравшим из-за войны против Ирана04:00, 16 марта 2026","Расход ракет, прибыль России от нефти и пауза в переговорах. Украина оказалась главным проигравшим из-за войны против Ирана04:00, 16 марта 2026","Расход ракет, прибыль России от нефти и пауза в переговорах. Украина оказалась главным проигравшим из-за войны против Ирана04:00, 16 марта 2026",https://lenta.ru/news/2026/03/16/rashod-raket-pribyt-rossii-ot-nefti-i-pauza-v-peregovorah-ukraina-okazalas-glavnym-proigravshim-iz-za-voyny-protiv-irana/,,,parsed_html:lenta
"Представители Франции приезжали в Россию с предложением по Украине. Почему они получили грубый отказ от помощника Путина?18:00, 15 марта 2026","Представители Франции приезжали в Россию с предложением по Украине. Почему они получили грубый отказ от помощника Путина?18:00, 15 марта 2026","Представители Франции приезжали в Россию с предложением по Украине. Почему они получили грубый отказ от помощника Путина?18:00, 15 марта 2026",https://lenta.ru/news/2026/03/15/predstaviteli-frantsii-priezzhali-v-rossiyu-s-predlozheniem-po-ukraine-pochemu-oni-poluchili-grubyy-otkaz-ot-pomoschnika-putina/,,,parsed_html:lenta
"«Санкции вернутся». Трамп пообещал снова ввести ограничительные меры против России, но назвал необходимое для этого условие04:00, 15 марта 2026","«Санкции вернутся». Трамп пообещал снова ввести ограничительные меры против России, но назвал необходимое для этого условие04:00, 15 марта 2026","«Санкции вернутся». Трамп пообещал снова ввести ограничительные меры против России, но назвал необходимое для этого условие04:00, 15 марта 2026",https://lenta.ru/news/2026/03/15/sanktsii-vernutsya-tramp-poobeschal-vernut-ogranichitelnye-mery-protiv-rossii-no-nazval-neobhodimoe-dlya-etogo-uslovie/,,,parsed_html:lenta
"Рядом с Москвой сбили более 60 беспилотников за день. Это стало самой масштабной атакой ВСУ на столицу с начала года01:05, 15 марта 2026","Рядом с Москвой сбили более 60 беспилотников за день. Это стало самой масштабной атакой ВСУ на столицу с начала года01:05, 15 марта 2026","Рядом с Москвой сбили более 60 беспилотников за день. Это стало самой масштабной атакой ВСУ на столицу с начала года01:05, 15 марта 2026",https://lenta.ru/news/2026/03/15/ryadom-s-moskvoy-sbili-bolee-60-bespilotnikov-za-den-eto-stalo-samoy-masshtabnoy-atakoy-vsu-na-stolitsu-s-nachala-goda/,,,parsed_html:lenta
"Украину объявили законной целью для атак Ирана. Какую роль сыграл Киев в войне на Ближнем Востоке?16:13, 14 марта 2026","Украину объявили законной целью для атак Ирана. Какую роль сыграл Киев в войне на Ближнем Востоке?16:13, 14 марта 2026","Украину объявили законной целью для атак Ирана. Какую роль сыграл Киев в войне на Ближнем Востоке?16:13, 14 марта 2026",https://lenta.ru/news/2026/03/14/ukrainu-ob-yavili-zakonnoy-tselyu-dlya-atak-irana-kakuyu-rol-sygral-kiev-v-voyne-na-blizhnem-vostoke/,,,parsed_html:lenta
Популярная блогерша заметила пугающий симптом и попала в больницу,Популярная блогерша заметила пугающий симптом и попала в больницу,Популярная блогерша заметила пугающий симптом и попала в больницу,https://lenta.ru/news/2026/03/17/mickey/,,,parsed_html:lenta
Центробанк сообщил о росте реального курса рубля,Центробанк сообщил о росте реального курса рубля,Центробанк сообщил о росте реального курса рубля,https://lenta.ru/news/2026/03/17/podros/,,,parsed_html:lenta
Трамп призвал расследовать расходование Украиной переданных Байденом денег,Трамп призвал расследовать расходование Украиной переданных Байденом денег,Трамп призвал расследовать расходование Украиной переданных Байденом денег,https://lenta.ru/news/2026/03/17/tramp-prizval-rassledovat-rashodovanie-ukrainoy-peredannyh-baydenom-deneg/,,,parsed_html:lenta
Королева Камилла рассказала подруге о промытых Меган Маркл мозгах принца Гарри,Королева Камилла рассказала подруге о промытых Меган Маркл мозгах принца Гарри,Королева Камилла рассказала подруге о промытых Меган Маркл мозгах принца Гарри,https://lenta.ru/news/2026/03/17/koroleva-kamilla-rasskazala-podruge-o-promytyh-megan-markl-mozgah-printsa-garri/,,,parsed_html:lenta
Самыми популярными моделями Jetour в России начали управлять дистанционно,Самыми популярными моделями Jetour в России начали управлять дистанционно,Самыми популярными моделями Jetour в России начали управлять дистанционно,https://lenta.ru/news/2026/03/17/samymi-populyarnymi-modelyami-jetour-v-rossii-teper-mozhno-upravlyat-distantsionno/,,,parsed_html:lenta
Названы защищающие от рака и инфаркта привычки,Названы защищающие от рака и инфаркта привычки,Названы защищающие от рака и инфаркта привычки,https://lenta.ru/news/2026/03/17/nazvany-zaschischayuschie-ot-raka-i-infarkta-privychki/,,,parsed_html:lenta
"«Озверевшие террористы ломали дверь»25 лет назад семья чеченцев захватила российский самолет. Как спецназ спасал ее заложников?00:01, 16 марта 2026","«Озверевшие террористы ломали дверь»25 лет назад семья чеченцев захватила российский самолет. Как спецназ спасал ее заложников?00:01, 16 марта 2026","«Озверевшие террористы ломали дверь»25 лет назад семья чеченцев захватила российский самолет. Как спецназ спасал ее заложников?00:01, 16 марта 2026",https://lenta.ru/articles/2026/03/16/zahvat/,,,parsed_html:lenta
Пассажиров несколько часов держали на холоде из-за угрозы взрыва на борту самолета,Пассажиров несколько часов держали на холоде из-за угрозы взрыва на борту самолета,Пассажиров несколько часов держали на холоде из-за угрозы взрыва на борту самолета,https://lenta.ru/news/2026/03/17/passazhirov-neskolko-chasov-derzhali-na-holode-iz-za-ugrozy-vzryva-na-bortu-samoleta/,,,parsed_html:lenta
"«Рисковать нельзя, завтра может быть уже поздно»Полуторагодовалую Сашу спасет срочная операция на черепе. Нужна ваша помощь","«Рисковать нельзя, завтра может быть уже поздно»Полуторагодовалую Сашу спасет срочная операция на черепе. Нужна ваша помощь","«Рисковать нельзя, завтра может быть уже поздно»Полуторагодовалую Сашу спасет срочная операция на черепе. Нужна ваша помощь",https://lenta.ru/articles/2026/03/17/rusfond230/,,,parsed_html:lenta
Трамп пообещал «что-то» сделать с Кубой,Трамп пообещал «что-то» сделать с Кубой,Трамп пообещал «что-то» сделать с Кубой,https://lenta.ru/news/2026/03/17/tramp-poobeschal-chto-to-sdelat-s-kuboy/,,,parsed_html:lenta
Вероятность выселения Распутиной из роскошного дома оценили,Вероятность выселения Распутиной из роскошного дома оценили,Вероятность выселения Распутиной из роскошного дома оценили,https://lenta.ru/news/2026/03/17/veroyatnost-vyseleniya-rasputinoy-iz-roskoshnogo-doma-otsenili/,,,parsed_html:lenta
"«Это был ад»Победы, рекорды, домогательства и побег в США: история прославленной румынской гимнастки Нади Команечи00:01, 5 марта 2026","«Это был ад»Победы, рекорды, домогательства и побег в США: история прославленной румынской гимнастки Нади Команечи00:01, 5 марта 2026","«Это был ад»Победы, рекорды, домогательства и побег в США: история прославленной румынской гимнастки Нади Команечи00:01, 5 марта 2026",https://lenta.ru/articles/2026/03/05/eto-byl-ad/,,,parsed_html:lenta
"«Гигантское государство обречено на гибель»Нацисты и японцы мечтали уничтожить СССР. Как они хотели обратить его народы в рабство?11:36, 11 марта 2026","«Гигантское государство обречено на гибель»Нацисты и японцы мечтали уничтожить СССР. Как они хотели обратить его народы в рабство?11:36, 11 марта 2026","«Гигантское государство обречено на гибель»Нацисты и японцы мечтали уничтожить СССР. Как они хотели обратить его народы в рабство?11:36, 11 марта 2026",https://lenta.ru/articles/2026/03/11/bezsroka7/,,,parsed_html:lenta
"«Он пил кровь из ее горла»Российские подростки-сатанисты стали серийными убийцами. Как безобидный ритуал превратился в расправу?00:01, 10 марта 2026","«Он пил кровь из ее горла»Российские подростки-сатанисты стали серийными убийцами. Как безобидный ритуал превратился в расправу?00:01, 10 марта 2026","«Он пил кровь из ее горла»Российские подростки-сатанисты стали серийными убийцами. Как безобидный ритуал превратился в расправу?00:01, 10 марта 2026",https://lenta.ru/articles/2026/03/10/teens/,,,parsed_html:lenta
